* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result Excess phase
* Format: Trace Arithmetic result Excess phase
* Dated: 13/11/2024 2:21:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Excess phase copy of L+R Jun 23-EP Cal file effects included No LF tail No HF tail
* Measurement: L+R Jun 23-EP
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 22.338867 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1134.743721 0.010 7.6311
1142.966542 0.010 7.6788
1151.248948 0.010 7.7529
1159.591373 0.010 7.8491
1167.994250 0.010 7.9624
1176.458018 0.010 8.0870
1184.983117 0.010 8.2166
1193.569993 0.010 8.3450
1202.219094 0.010 8.4657
1210.930869 0.010 8.5725
1219.705773 0.010 8.6595
1228.544264 0.010 8.7215
1237.446802 0.010 8.7539
1246.413852 0.010 8.7531
1255.445880 0.010 8.7167
1264.543359 0.010 8.6435
1273.706761 0.010 8.5339
1282.936565 0.010 8.3895
1292.233253 0.010 8.2132
1301.597307 0.010 8.0094
1311.029218 0.010 7.7832
1320.529476 0.010 7.5408
1330.098577 0.010 7.2891
1339.737020 0.010 7.0352
1349.445306 0.010 6.7864
1359.223943 0.010 6.5499
1369.073440 0.010 6.3324
1378.994311 0.010 6.1399
1388.987072 0.010 5.9774
1399.052245 0.010 5.8491
1409.190354 0.010 5.7577
1419.401929 0.010 5.7045
1429.687500 0.010 5.6897
1440.047605 0.010 5.7119
1450.482784 0.010 5.7685
1460.993580 0.010 5.8556
1471.580541 0.010 5.9683
1482.244221 0.010 6.1009
1492.985173 0.010 6.2468
1503.803959 0.010 6.3991
1514.701143 0.010 6.5508
1525.677292 0.010 6.6946
1536.732978 0.010 6.8240
1547.868779 0.010 6.9331
1559.085274 0.010 7.0169
1570.383049 0.010 7.0715
1581.762692 0.010 7.0944
1593.224796 0.010 7.0844
1604.769960 0.010 7.0418
1616.398784 0.010 6.9684
1628.111876 0.010 6.8673
1639.909846 0.010 6.7427
1651.793309 0.010 6.6002
1663.762884 0.010 6.4459
1675.819196 0.010 6.2869
1687.962872 0.010 6.1303
1700.194547 0.010 5.9833
1712.514858 0.010 5.8531
1724.924446 0.010 5.7462
1737.423960 0.010 5.6685
1750.014050 0.010 5.6246
1762.695373 0.010 5.6184
1775.468591 0.010 5.6518
1788.334368 0.010 5.7258
1801.293376 0.010 5.8396
1814.346290 0.010 5.9908
1827.493791 0.010 6.1758
1840.736565 0.010 6.3895
1854.075301 0.010 6.6254
1867.510695 0.010 6.8759
1881.043447 0.010 7.1330
1894.674263 0.010 7.3879
1908.403854 0.010 7.6318
1922.232935 0.010 7.8564
1936.162227 0.010 8.0538
1950.192457 0.010 8.2170
1964.324355 0.010 8.3402
1978.558659 0.010 8.4190
1992.896111 0.010 8.4506
2007.337458 0.010 8.4338
2021.883452 0.010 8.3689
2036.534853 0.010 8.2582
2051.292424 0.010 8.1054
2066.156935 0.010 7.9156
2081.129160 0.010 7.6953
2096.209880 0.010 7.4520
2111.399881 0.010 7.1936
2126.699954 0.010 6.9289
2142.110899 0.010 6.6668
2157.633518 0.010 6.4158
2173.268619 0.010 6.1842
2189.017020 0.010 5.9793
2204.879539 0.010 5.8075
2220.857005 0.010 5.6736
2236.950251 0.010 5.5809
2253.160114 0.010 5.5311
2269.487441 0.010 5.5245
2285.933083 0.010 5.5596
2302.497896 0.010 5.6332
2319.182745 0.010 5.7409
2335.988500 0.010 5.8768
2352.916035 0.010 6.0339
2369.966235 0.010 6.2045
2387.139987 0.010 6.3802
2404.438187 0.010 6.5527
2421.861738 0.010 6.7138
2439.411546 0.010 6.8557
2457.088528 0.010 6.9716
2474.893604 0.010 7.0556
2492.827703 0.010 7.1034
2510.891761 0.010 7.1119
2529.086717 0.010 7.0800
2547.413522 0.010 7.0082
2565.873131 0.010 6.8984
2584.466505 0.010 6.7545
2603.194615 0.010 6.5818
2622.058436 0.010 6.3866
2641.058952 0.010 6.1765
2660.197154 0.010 5.9600
2679.474039 0.010 5.7458
2698.890613 0.010 5.5430
2718.447887 0.010 5.3601
2738.146881 0.010 5.2051
2757.988622 0.010 5.0852
2777.974144 0.010 5.0060
2798.104490 0.010 4.9719
2818.380709 0.010 4.9854
2838.803857 0.010 5.0472
2859.375000 0.010 5.1564
2880.095210 0.010 5.3101
